colour	x	y	showSelected1	showSelected2	fill
#CCCCCC	1	1	1	No	#CCCCCC
#CCCCCC	2	1	1	No	#CCCCCC
#CCCCCC	3	1	1	No	#CCCCCC
#FF0000	4	1	1	Yes	#FF0000
#CCCCCC	5	1	1	No	#CCCCCC
#CCCCCC	6	1	1	No	#CCCCCC
#CCCCCC	7	1	1	No	#CCCCCC
#CCCCCC	8	1	1	No	#CCCCCC
#FF0000	9	1	1	Yes	#FF0000
#CCCCCC	10	1	1	No	#CCCCCC
#CCCCCC	1	2	1	No	#CCCCCC
#CCCCCC	2	2	1	No	#CCCCCC
#CCCCCC	3	2	1	No	#CCCCCC
#CCCCCC	4	2	1	No	#CCCCCC
#CCCCCC	5	2	1	No	#CCCCCC
#CCCCCC	6	2	1	No	#CCCCCC
#CCCCCC	7	2	1	No	#CCCCCC
#CCCCCC	8	2	1	No	#CCCCCC
#CCCCCC	9	2	1	No	#CCCCCC
#CCCCCC	10	2	1	No	#CCCCCC
#CCCCCC	1	3	1	No	#CCCCCC
#CCCCCC	2	3	1	No	#CCCCCC
#CCCCCC	3	3	1	No	#CCCCCC
#CCCCCC	4	3	1	No	#CCCCCC
#CCCCCC	5	3	1	No	#CCCCCC
#CCCCCC	6	3	1	No	#CCCCCC
#CCCCCC	7	3	1	No	#CCCCCC
#FF0000	8	3	1	Yes	#FF0000
#CCCCCC	9	3	1	No	#CCCCCC
#CCCCCC	10	3	1	No	#CCCCCC
#CCCCCC	1	4	1	No	#CCCCCC
#CCCCCC	2	4	1	No	#CCCCCC
#CCCCCC	3	4	1	No	#CCCCCC
#FF0000	4	4	1	Yes	#FF0000
#CCCCCC	5	4	1	No	#CCCCCC
#CCCCCC	6	4	1	No	#CCCCCC
#CCCCCC	7	4	1	No	#CCCCCC
#CCCCCC	8	4	1	No	#CCCCCC
#FF0000	9	4	1	Yes	#FF0000
#CCCCCC	10	4	1	No	#CCCCCC
#CCCCCC	1	5	1	No	#CCCCCC
#CCCCCC	2	5	1	No	#CCCCCC
#CCCCCC	3	5	1	No	#CCCCCC
#CCCCCC	4	5	1	No	#CCCCCC
#CCCCCC	5	5	1	No	#CCCCCC
#CCCCCC	6	5	1	No	#CCCCCC
#FF0000	7	5	1	Yes	#FF0000
#CCCCCC	8	5	1	No	#CCCCCC
#FF0000	9	5	1	Yes	#FF0000
#CCCCCC	10	5	1	No	#CCCCCC
#CCCCCC	1	6	1	No	#CCCCCC
#CCCCCC	2	6	1	No	#CCCCCC
#CCCCCC	3	6	1	No	#CCCCCC
#CCCCCC	4	6	1	No	#CCCCCC
#CCCCCC	5	6	1	No	#CCCCCC
#FF0000	6	6	1	Yes	#FF0000
#FF0000	7	6	1	Yes	#FF0000
#CCCCCC	8	6	1	No	#CCCCCC
#FF0000	9	6	1	Yes	#FF0000
#CCCCCC	10	6	1	No	#CCCCCC
#CCCCCC	1	7	1	No	#CCCCCC
#CCCCCC	2	7	1	No	#CCCCCC
#CCCCCC	3	7	1	No	#CCCCCC
#CCCCCC	4	7	1	No	#CCCCCC
#CCCCCC	5	7	1	No	#CCCCCC
#FF0000	6	7	1	Yes	#FF0000
#CCCCCC	7	7	1	No	#CCCCCC
#CCCCCC	8	7	1	No	#CCCCCC
#CCCCCC	9	7	1	No	#CCCCCC
#FF0000	10	7	1	Yes	#FF0000
#CCCCCC	1	8	1	No	#CCCCCC
#CCCCCC	2	8	1	No	#CCCCCC
#CCCCCC	3	8	1	No	#CCCCCC
#CCCCCC	4	8	1	No	#CCCCCC
#FF0000	5	8	1	Yes	#FF0000
#CCCCCC	6	8	1	No	#CCCCCC
#CCCCCC	7	8	1	No	#CCCCCC
#CCCCCC	8	8	1	No	#CCCCCC
#CCCCCC	9	8	1	No	#CCCCCC
#CCCCCC	10	8	1	No	#CCCCCC
#FF0000	1	9	1	Yes	#FF0000
#CCCCCC	2	9	1	No	#CCCCCC
#CCCCCC	3	9	1	No	#CCCCCC
#CCCCCC	4	9	1	No	#CCCCCC
#CCCCCC	5	9	1	No	#CCCCCC
#CCCCCC	6	9	1	No	#CCCCCC
#CCCCCC	7	9	1	No	#CCCCCC
#CCCCCC	8	9	1	No	#CCCCCC
#CCCCCC	9	9	1	No	#CCCCCC
#CCCCCC	10	9	1	No	#CCCCCC
#CCCCCC	1	10	1	No	#CCCCCC
#CCCCCC	2	10	1	No	#CCCCCC
#CCCCCC	3	10	1	No	#CCCCCC
#CCCCCC	4	10	1	No	#CCCCCC
#CCCCCC	5	10	1	No	#CCCCCC
#CCCCCC	6	10	1	No	#CCCCCC
#CCCCCC	7	10	1	No	#CCCCCC
#CCCCCC	8	10	1	No	#CCCCCC
#FF0000	9	10	1	Yes	#FF0000
#CCCCCC	10	10	1	No	#CCCCCC
#CCCCCC	1	1	2	No	#CCCCCC
#CCCCCC	2	1	2	No	#CCCCCC
#FF0000	3	1	2	Yes	#FF0000
#FF0000	4	1	2	Yes	#FF0000
#CCCCCC	5	1	2	No	#CCCCCC
#CCCCCC	6	1	2	No	#CCCCCC
#FF0000	7	1	2	Yes	#FF0000
#CCCCCC	8	1	2	No	#CCCCCC
#CCCCCC	9	1	2	No	#CCCCCC
#FF0000	10	1	2	Yes	#FF0000
#CCCCCC	1	2	2	No	#CCCCCC
#CCCCCC	2	2	2	No	#CCCCCC
#FF0000	3	2	2	Yes	#FF0000
#CCCCCC	4	2	2	No	#CCCCCC
#CCCCCC	5	2	2	No	#CCCCCC
#CCCCCC	6	2	2	No	#CCCCCC
#CCCCCC	7	2	2	No	#CCCCCC
#CCCCCC	8	2	2	No	#CCCCCC
#CCCCCC	9	2	2	No	#CCCCCC
#CCCCCC	10	2	2	No	#CCCCCC
#CCCCCC	1	3	2	No	#CCCCCC
#CCCCCC	2	3	2	No	#CCCCCC
#CCCCCC	3	3	2	No	#CCCCCC
#CCCCCC	4	3	2	No	#CCCCCC
